emp_no,first_name,last_name,title,from_date,birth_date
287713,Aamod,Ranka,Senior Staff,1992-12-07,1965-01-23
24189,Abdelaziz,Atrawala,Staff,1993-03-28,1965-01-16
101487,Abdelaziz,Sury,Senior Staff,1999-01-31,1965-01-14
247888,Abdelghani,Lagarias,Senior Engineer,1992-09-06,1965-01-15
464303,Abdelghani,Nyrup,Senior Staff,1994-08-02,1965-01-22
217320,Abdelwaheb,Denis,Engineer,1993-09-10,1965-01-10
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,1965-01-30
95692,Abdulah,Hofstetter,Engineer,1999-11-24,1965-01-20
263721,Abdulah,Horswill,Engineer,1999-06-12,1965-01-03
243576,Abdulah,Lodder,Senior Staff,2001-11-10,1965-01-04
221369,Abdulah,Pocchiola,Engineer,1996-08-28,1965-01-28
422263,Abdulah,Remmele,Staff,1992-09-24,1965-01-06
239244,Abdulla,Kitai,Senior Staff,1996-02-20,1965-01-13
210529,Adam,Besancenot,Senior Staff,1990-09-27,1965-01-29
416420,Adamantios,Heemskerk,Senior Staff,1986-08-08,1965-01-22
432031,Adamantios,Matzat,Senior Staff,1993-02-28,1965-01-11
33293,Adamantios,Vanwelkenhuysen,Engineer,2000-01-11,1965-02-01
429419,Adas,Chinen,Senior Staff,1998-01-04,1965-01-13
52386,Adas,Denti,Senior Staff,1995-05-30,1965-01-28
62245,Adel,Bressoud,Engineer,1995-08-30,1965-01-01
236964,Adel,Foote,Staff,1998-08-19,1965-01-17
209456,Adhemar,Leonhardt,Engineer,1998-11-01,1965-01-19
71745,Adil,Laventhal,Engineer,2001-05-13,1965-01-02
18021,Adil,Matzke,Senior Engineer,1995-05-08,1965-01-07
55857,Adin,Scallan,Senior Staff,1996-09-14,1965-01-18
102620,Adin,Templeman,Engineer,1997-12-10,1965-01-03
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,1965-01-25
460131,Adly,Hambrick,Staff,1997-07-25,1965-01-16
219047,Aemilian,Kusalik,Senior Engineer,1995-05-27,1965-01-30
421039,Aemilian,Zedlitz,Engineer,1988-12-23,1965-01-28
73794,Aiichiro,Castellani,Engineer,1985-08-26,1965-01-26
216342,Aiichiro,Cromarty,Senior Engineer,2000-06-09,1965-01-22
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,1965-01-07
89680,Aiman,Mawatari,Senior Engineer,1997-05-01,1965-01-27
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,1965-01-21
469366,Aiman,Wilfing,Senior Engineer,1999-12-30,1965-01-12
62384,Akeel,Litzler,Senior Staff,1999-10-23,1965-01-02
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,1965-01-27
442898,Aksel,Gire,Engineer,1999-06-27,1965-01-07
65539,Aksel,Picaronny,Senior Engineer,1998-01-27,1965-01-23
21534,Alagu,Luders,Staff,1996-04-03,1965-01-12
425535,Alagu,Vieri,Senior Staff,1992-08-22,1965-01-18
52778,Alain,Penn,Technique Leader,1986-05-03,1965-01-15
95406,Alair,Lyonns,Engineer,1997-07-12,1965-01-08
452957,Alair,Nanard,Staff,1996-02-10,1965-01-03
432121,Alair,Straney,Senior Staff,1992-11-14,1965-01-06
429249,Alassane,Wolniewicz,Senior Engineer,1993-10-06,1965-01-28
416074,Alain,Lieberherr,Senior Engineer,1996-05-10,1965-01-08
447232,Aleksander,Schaaf,Senior Staff,2001-05-25,1965-01-22
431759,Alassane,Ramsay,Engineer,1987-11-05,1965-02-01
201229,Alejandra,Khasidashvili,Staff,1994-07-30,1965-01-03
44054,Alenka,Ritcey,Engineer,1997-02-09,1965-01-18
463495,Alenka,Barriga,Senior Staff,1993-05-06,1965-01-28
250452,Alexius,Plavsic,Senior Engineer,2000-01-17,1965-01-14
218299,Almudena,Genin,Senior Staff,1993-09-26,1965-01-09
406847,Alexius,Crouzet,Staff,1999-10-05,1965-01-24
89922,Alexius,Ibel,Senior Engineer,1993-04-24,1965-01-26
246364,Alper,Tiemann,Engineer,1998-10-29,1965-01-06
236827,Almudena,Rijckaert,Senior Engineer,1999-02-16,1965-01-28
276868,Alois,Sanella,Staff,1998-03-13,1965-01-19
89207,Along,Erol,Senior Staff,1999-10-17,1965-01-15
282191,Alper,Shinomoto,Engineer,1997-10-20,1965-01-16
233114,Alselm,Gargeya,Senior Engineer,1987-12-25,1965-01-20
481399,Amabile,Crelier,Staff,1998-06-16,1965-01-05
82928,Alselm,Rikino,Senior Engineer,1997-11-16,1965-01-27
430981,Amabile,Koyama,Senior Staff,1990-07-25,1965-01-24
404462,Anestis,Setlzner,Senior Engineer,1991-07-13,1965-01-09
34077,Angel,Sichman,Senior Staff,1997-11-16,1965-01-08
13957,Angus,Chelton,Senior Engineer,1986-04-18,1965-01-10
400358,Angus,Jullig,Senior Engineer,1997-04-13,1965-01-31
73743,Anneke,Bernardeschi,Engineer,1999-11-01,1965-01-15
284954,Anneke,Hammerschmidt,Engineer,1996-01-30,1965-01-16
235368,Anneli,Joslin,Senior Engineer,1987-04-12,1965-01-09
224135,Annemarie,Bressoud,Engineer,1998-06-23,1965-01-02
237590,Annemarie,Irland,Staff,1991-07-30,1965-01-25
202031,Annemarie,Peternell,Engineer,1994-03-13,1965-01-23
222878,Annemarie,Zallocco,Senior Engineer,1996-05-27,1965-01-10
480571,Anoosh,Wielonsky,Engineer,1994-08-04,1965-01-09
211967,Anwar,Bain,Senior Engineer,1998-01-22,1965-01-07
266644,Anwar,Gubsky,Senior Staff,1999-08-09,1965-01-08
24553,Anwar,Passafiume,Senior Staff,1994-01-30,1965-01-12
97092,Anwar,Riexinger,Senior Engineer,1997-12-30,1965-01-22
257469,Anyuan,Hanratty,Senior Staff,1996-01-06,1965-01-22
92846,Anyuan,Kropatsch,Senior Staff,1993-09-05,1965-01-11
448165,Anyuan,Schwaller,Senior Staff,1999-08-31,1965-01-07
411906,Anneli,Pappas,Engineer,1998-07-04,1965-02-01
445456,Apostol,Gruenwald,Engineer,1998-08-04,1965-01-12
201708,Anneli,Perl,Senior Staff,2000-09-08,1965-01-15
482905,Aral,Hebden,Senior Staff,1991-09-10,1965-01-16
446959,Aram,Passino,Senior Engineer,1995-01-28,1965-01-29
453070,Aran,Rosenbaum,Senior Staff,2000-04-24,1965-01-06
94416,Aran,Cesareni,Senior Staff,1990-02-10,1965-01-01
243898,Arch,Basawa,Staff,1998-05-10,1965-01-09
457938,Arch,Picco,Senior Staff,2000-06-07,1965-01-14
210610,Arco,Crouzet,Engineer,2000-09-02,1965-01-23
109703,Arco,Walston,Engineer,1999-08-16,1965-01-17
214789,Arfst,Chepyzhov,Senior Engineer,1997-02-06,1965-01-28
432034,Arfst,Uehara,Senior Staff,1993-11-15,1965-01-24
92438,Aria,Kilgore,Senior Engineer,1996-02-28,1965-01-04
93549,Arie,Coullard,Senior Staff,1998-04-15,1965-02-01
76201,Arif,Preusig,Senior Engineer,1992-04-02,1965-01-10
469735,Arif,Stranks,Senior Engineer,1992-11-16,1965-01-30
89941,Arnould,Weedman,Senior Staff,1989-07-28,1965-01-23
414808,Aris,Sambasivam,Senior Engineer,1993-02-20,1965-01-05
254399,Armond,Lores,Technique Leader,1999-09-16,1965-01-24
213447,Armond,Perly,Senior Engineer,1996-09-14,1965-02-01
79606,Arnd,Peir,Senior Engineer,1986-12-11,1965-01-03
453723,Arne,Kohling,Senior Engineer,1993-12-13,1965-01-15
285906,Arnould,Buescher,Engineer,1998-03-26,1965-01-02
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,1965-01-27
471911,Arun,Zaccaria,Engineer,1998-05-31,1965-01-14
50453,Aron,Harbusch,Staff,1997-10-02,1965-01-12
452206,Arra,Esposito,Staff,1994-11-03,1965-01-22
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,1965-01-22
498845,Arumugam,Pelc,Senior Engineer,1999-11-13,1965-01-09
